Sample,Developmental_stage,Treatments,Niche,Methods,Treatments_niche,Methods_niche
VConL1,Vegetative growth stage,VCon,Leaf,Con,VConL,VLeaf
VConL2,Vegetative growth stage,VCon,Leaf,Con,VConL,VLeaf
VConL3,Vegetative growth stage,VCon,Leaf,Con,VConL,VLeaf
VConR1,Vegetative growth stage,VCon,Root,Con,VConR,VRoot
VConR2,Vegetative growth stage,VCon,Root,Con,VConR,VRoot
VConR3,Vegetative growth stage,VCon,Root,Con,VConR,VRoot
VConS1,Vegetative growth stage,VCon,Stem,Con,VConS,VStem
VConS2,Vegetative growth stage,VCon,Stem,Con,VConS,VStem
VConS3,Vegetative growth stage,VCon,Stem,Con,VConS,VStem
VWSHML1,Vegetative growth stage,VWSHM,Leaf,WSHM,VWSHML,VLeaf
VWSHML2,Vegetative growth stage,VWSHM,Leaf,WSHM,VWSHML,VLeaf
VWSHML3,Vegetative growth stage,VWSHM,Leaf,WSHM,VWSHML,VLeaf
VWSHMR1,Vegetative growth stage,VWSHM,Root,WSHM,VWSHMR,VRoot
VWSHMR2,Vegetative growth stage,VWSHM,Root,WSHM,VWSHMR,VRoot
VWSHMR3,Vegetative growth stage,VWSHM,Root,WSHM,VWSHMR,VRoot
VWSHMS1,Vegetative growth stage,VWSHM,Stem,WSHM,VWSHMS,VStem
VWSHMS2,Vegetative growth stage,VWSHM,Stem,WSHM,VWSHMS,VStem
VWSHMS3,Vegetative growth stage,VWSHM,Stem,WSHM,VWSHMS,VStem
VFAL1,Vegetative growth stage,VFA,Leaf,FA,VFAL,VLeaf
VFAL2,Vegetative growth stage,VFA,Leaf,FA,VFAL,VLeaf
VFAL3,Vegetative growth stage,VFA,Leaf,FA,VFAL,VLeaf
VFAR1,Vegetative growth stage,VFA,Root,FA,VFAR,VRoot
VFAR2,Vegetative growth stage,VFA,Root,FA,VFAR,VRoot
VFAR3,Vegetative growth stage,VFA,Root,FA,VFAR,VRoot
VFAS1,Vegetative growth stage,VFA,Stem,FA,VFAS,VStem
VFAS2,Vegetative growth stage,VFA,Stem,FA,VFAS,VStem
VFAS3,Vegetative growth stage,VFA,Stem,FA,VFAS,VStem
